key,value,date
paddock,682.12,2016-10-09T09:05:00
paddock,683.60,2016-10-09T09:10:00
paddock,685.04,2016-10-09T09:15:00
paddock,686.52,2016-10-09T09:20:00
paddock,687.90,2016-10-09T09:25:00
paddock,689.40,2016-10-09T09:30:00
paddock,690.80,2016-10-09T09:35:00
paddock,692.16,2016-10-09T09:40:00
paddock,693.52,2016-10-09T09:45:00
paddock,542.40,2016-10-09T09:50:00
paddock,546.00,2016-10-09T09:55:00
paddock,547.36,2016-10-09T10:00:00
paddock,548.74,2016-10-09T10:05:00
paddock,550.08,2016-10-09T10:10:00
paddock,704.46,2016-10-09T10:15:00
paddock,706.30,2016-10-09T10:20:00
paddock,708.44,2016-10-09T10:25:00
paddock,708.26,2016-10-09T10:30:00
paddock,712.30,2016-10-09T10:35:00
paddock,714.10,2016-10-09T10:40:00
paddock,715.84,2016-10-09T10:45:00
paddock,717.48,2016-10-09T10:50:00
paddock,718.94,2016-10-09T10:55:00
paddock,720.36,2016-10-09T11:00:00
paddock,721.74,2016-10-09T11:05:00
paddock,723.14,2016-10-09T11:10:00
paddock,724.70,2016-10-09T11:15:00
paddock,726.24,2016-10-09T11:20:00
paddock,728.06,2016-10-09T11:25:00
paddock,729.94,2016-10-09T11:30:00
paddock,731.70,2016-10-09T11:35:00
paddock,733.52,2016-10-09T11:40:00
paddock,735.30,2016-10-09T11:45:00
paddock,737.06,2016-10-09T11:50:00
paddock,1016.75,2016-10-09T11:55:00
paddock,1018.98,2016-10-09T12:00:00
paddock,1021.38,2016-10-09T12:05:00
paddock,1023.63,2016-10-09T12:10:00
paddock,1025.52,2016-10-09T12:15:00
paddock,1027.24,2016-10-09T12:20:00
paddock,1028.98,2016-10-09T12:25:00
paddock,1030.76,2016-10-09T12:30:00
paddock,1032.44,2016-10-09T12:35:00
paddock,1034.04,2016-10-09T12:40:00
paddock,1035.66,2016-10-09T12:45:00
paddock,1037.20,2016-10-09T12:50:00
paddock,1038.62,2016-10-09T12:55:00
paddock,1040.02,2016-10-09T13:00:00
paddock,1041.48,2016-10-09T13:05:00
paddock,1042.92,2016-10-09T13:10:00
paddock,1044.38,2016-10-09T13:15:00
paddock,1045.88,2016-10-09T13:20:00
paddock,1047.40,2016-10-09T13:25:00
paddock,1048.82,2016-10-09T13:30:00
paddock,1050.28,2016-10-09T13:35:00
paddock,1051.68,2016-10-09T13:40:00
paddock,1053.24,2016-10-09T13:45:00
paddock,1054.74,2016-10-09T13:50:00
paddock,1056.14,2016-10-09T13:55:00
paddock,1057.74,2016-10-09T14:00:00
paddock,1063.65,2016-10-09T14:05:00
paddock,1075.06,2016-10-09T14:10:00
paddock,1084.08,2016-10-09T14:15:00
paddock,1092.40,2016-10-09T14:20:00
paddock,1107.53,2016-10-09T14:25:00
paddock,1128.15,2016-10-09T14:30:00
paddock,1147.71,2016-10-09T14:35:00
paddock,1164.58,2016-10-09T14:40:00
paddock,1178.68,2016-10-09T14:45:00
paddock,1188.57,2016-10-09T14:50:00
paddock,1195.21,2016-10-09T14:55:00
paddock,1200.30,2016-10-09T15:00:00
paddock,1205.55,2016-10-09T15:05:00
paddock,1212.21,2016-10-09T15:10:00
paddock,1216.70,2016-10-09T15:15:00
paddock,1219.98,2016-10-09T15:20:00
paddock,1222.54,2016-10-09T15:25:00
paddock,1224.77,2016-10-09T15:30:00
paddock,1227.08,2016-10-09T15:35:00
paddock,1229.13,2016-10-09T15:40:00
paddock,1230.86,2016-10-09T15:45:00
paddock,1232.20,2016-10-09T15:50:00
paddock,1233.64,2016-10-09T15:55:00
paddock,1175.14,2016-10-09T16:00:00
paddock,1176.54,2016-10-09T16:05:00
paddock,998.12,2016-10-09T16:10:00
paddock,999.48,2016-10-09T16:15:00
paddock,1000.86,2016-10-09T16:20:00
paddock,1002.24,2016-10-09T16:25:00
paddock,1003.60,2016-10-09T16:30:00
paddock,1004.96,2016-10-09T16:35:00
paddock,1006.34,2016-10-09T16:40:00
paddock,1007.68,2016-10-09T16:45:00
paddock,1009.04,2016-10-09T16:50:00
paddock,662.18,2016-10-09T16:55:00
paddock,663.56,2016-10-09T17:00:00
paddock,664.95,2016-10-09T17:05:00
paddock,726.20,2016-10-09T17:10:00
paddock,907.34,2016-10-09T17:15:00
paddock,908.66,2016-10-09T17:20:00
paddock,910.03,2016-10-09T17:25:00
paddock,911.38,2016-10-09T17:30:00
paddock,852.66,2016-10-09T17:35:00
paddock,853.84,2016-10-09T17:40:00
paddock,914.94,2016-10-09T17:45:00
paddock,916.16,2016-10-09T17:50:00
paddock,917.32,2016-10-09T17:55:00
paddock,918.46,2016-10-09T18:00:00
paddock,919.58,2016-10-09T18:05:00
paddock,920.72,2016-10-09T18:10:00
paddock,921.84,2016-10-09T18:15:00
paddock,922.98,2016-10-09T18:20:00
paddock,924.18,2016-10-09T18:25:00
paddock,925.26,2016-10-09T18:30:00
paddock,927.08,2016-10-09T18:35:00
paddock,933.60,2016-10-09T18:40:00
paddock,942.91,2016-10-09T18:45:00
paddock,954.47,2016-10-09T18:50:00
paddock,966.57,2016-10-09T18:55:00
media,1817.38,2016-10-09T09:05:00
media,1821.88,2016-10-09T09:10:00
media,1827.20,2016-10-09T09:15:00
media,1832.52,2016-10-09T09:20:00
media,1838.22,2016-10-09T09:25:00
media,1844.28,2016-10-09T09:30:00
media,1850.02,2016-10-09T09:35:00
media,1856.04,2016-10-09T09:40:00
media,1862.32,2016-10-09T09:45:00
media,1868.70,2016-10-09T09:50:00
media,2674.59,2016-10-09T09:55:00
media,2682.50,2016-10-09T10:00:00
media,2691.64,2016-10-09T10:05:00
media,2700.32,2016-10-09T10:10:00
media,2709.10,2016-10-09T10:15:00
media,2717.72,2016-10-09T10:20:00
media,2726.30,2016-10-09T10:25:00
media,2735.66,2016-10-09T10:30:00
media,2745.02,2016-10-09T10:35:00
media,2754.36,2016-10-09T10:40:00
media,2763.64,2016-10-09T10:45:00
media,2773.08,2016-10-09T10:50:00
media,2782.38,2016-10-09T10:55:00
media,2792.10,2016-10-09T11:00:00
media,2800.90,2016-10-09T11:05:00
media,2810.16,2016-10-09T11:10:00
media,2819.68,2016-10-09T11:15:00
media,2829.38,2016-10-09T11:20:00
media,2837.75,2016-10-09T11:25:00
media,1991.42,2016-10-09T11:30:00
media,1997.72,2016-10-09T11:35:00
media,2004.10,2016-10-09T11:40:00
media,2010.74,2016-10-09T11:45:00
media,2017.48,2016-10-09T11:50:00
media,2023.84,2016-10-09T11:55:00
media,2030.06,2016-10-09T12:00:00
media,2036.20,2016-10-09T12:05:00
media,2042.28,2016-10-09T12:10:00
media,2048.38,2016-10-09T12:15:00
media,2054.44,2016-10-09T12:20:00
media,2060.52,2016-10-09T12:25:00
media,2066.60,2016-10-09T12:30:00
media,2072.48,2016-10-09T12:35:00
media,2078.66,2016-10-09T12:40:00
media,2084.84,2016-10-09T12:45:00
media,2090.98,2016-10-09T12:50:00
media,2097.08,2016-10-09T12:55:00
media,2103.48,2016-10-09T13:00:00
media,2109.68,2016-10-09T13:05:00
media,2116.02,2016-10-09T13:10:00
media,2122.70,2016-10-09T13:15:00
media,2129.38,2016-10-09T13:20:00
media,2136.08,2016-10-09T13:25:00
media,2142.66,2016-10-09T13:30:00
media,2149.36,2016-10-09T13:35:00
media,2156.28,2016-10-09T13:40:00
media,2163.14,2016-10-09T13:45:00
media,3112.82,2016-10-09T13:50:00
media,3121.02,2016-10-09T13:55:00
media,3130.16,2016-10-09T14:00:00
media,3139.12,2016-10-09T14:05:00
media,3147.98,2016-10-09T14:10:00
media,3156.86,2016-10-09T14:15:00
media,3166.00,2016-10-09T14:20:00
media,3175.60,2016-10-09T14:25:00
media,3185.11,2016-10-09T14:30:00
media,3193.72,2016-10-09T14:35:00
media,3203.10,2016-10-09T14:40:00
media,3212.50,2016-10-09T14:45:00
media,3221.76,2016-10-09T14:50:00
media,3231.22,2016-10-09T14:55:00
media,3240.66,2016-10-09T15:00:00
media,3249.76,2016-10-09T15:05:00
media,3258.62,2016-10-09T15:10:00
media,3267.77,2016-10-09T15:15:00
media,3277.10,2016-10-09T15:20:00
media,3286.10,2016-10-09T15:25:00
media,3294.56,2016-10-09T15:30:00
media,3303.92,2016-10-09T15:35:00
media,3312.44,2016-10-09T15:40:00
media,2318.34,2016-10-09T15:45:00
media,2324.62,2016-10-09T15:50:00
media,2331.01,2016-10-09T15:55:00
media,2337.26,2016-10-09T16:00:00
media,2343.34,2016-10-09T16:05:00
media,2349.48,2016-10-09T16:10:00
media,2355.62,2016-10-09T16:15:00
media,2361.71,2016-10-09T16:20:00
media,2367.64,2016-10-09T16:25:00
media,2373.60,2016-10-09T16:30:00
media,2379.51,2016-10-09T16:35:00
media,2385.86,2016-10-09T16:40:00
media,2391.94,2016-10-09T16:45:00
media,2398.02,2016-10-09T16:50:00
media,2403.88,2016-10-09T16:55:00
media,2409.88,2016-10-09T17:00:00
media,2416.24,2016-10-09T17:05:00
media,2422.58,2016-10-09T17:10:00
media,2429.04,2016-10-09T17:15:00
media,2435.64,2016-10-09T17:20:00
media,2441.68,2016-10-09T17:25:00
media,2447.86,2016-10-09T17:30:00
media,2454.12,2016-10-09T17:35:00
media,2460.72,2016-10-09T17:40:00
media,3516.12,2016-10-09T17:45:00
media,3523.58,2016-10-09T17:50:00
media,3530.68,2016-10-09T17:55:00
media,3537.58,2016-10-09T18:00:00
