key,value,date
paddock,665.46,2016-10-09T08:05:00
paddock,666.84,2016-10-09T08:10:00
paddock,668.22,2016-10-09T08:15:00
paddock,669.60,2016-10-09T08:20:00
paddock,670.98,2016-10-09T08:25:00
paddock,672.36,2016-10-09T08:30:00
paddock,673.76,2016-10-09T08:35:00
paddock,675.14,2016-10-09T08:40:00
paddock,676.52,2016-10-09T08:45:00
paddock,677.90,2016-10-09T08:50:00
paddock,679.30,2016-10-09T08:55:00
paddock,680.77,2016-10-09T09:00:00
paddock,682.12,2016-10-09T09:05:00
paddock,683.60,2016-10-09T09:10:00
paddock,685.04,2016-10-09T09:15:00
paddock,686.52,2016-10-09T09:20:00
paddock,687.90,2016-10-09T09:25:00
paddock,689.40,2016-10-09T09:30:00
paddock,690.80,2016-10-09T09:35:00
paddock,692.16,2016-10-09T09:40:00
paddock,693.52,2016-10-09T09:45:00
paddock,542.40,2016-10-09T09:50:00
paddock,546.00,2016-10-09T09:55:00
paddock,547.36,2016-10-09T10:00:00
paddock,548.74,2016-10-09T10:05:00
paddock,550.08,2016-10-09T10:10:00
paddock,704.46,2016-10-09T10:15:00
paddock,706.30,2016-10-09T10:20:00
paddock,708.44,2016-10-09T10:25:00
paddock,708.26,2016-10-09T10:30:00
paddock,712.30,2016-10-09T10:35:00
paddock,714.10,2016-10-09T10:40:00
paddock,715.84,2016-10-09T10:45:00
paddock,717.48,2016-10-09T10:50:00
paddock,718.94,2016-10-09T10:55:00
paddock,720.36,2016-10-09T11:00:00
paddock,721.74,2016-10-09T11:05:00
paddock,723.14,2016-10-09T11:10:00
paddock,724.70,2016-10-09T11:15:00
paddock,726.24,2016-10-09T11:20:00
paddock,728.06,2016-10-09T11:25:00
paddock,729.94,2016-10-09T11:30:00
paddock,731.70,2016-10-09T11:35:00
paddock,733.52,2016-10-09T11:40:00
paddock,735.30,2016-10-09T11:45:00
paddock,737.06,2016-10-09T11:50:00
paddock,1016.75,2016-10-09T11:55:00
paddock,1018.98,2016-10-09T12:00:00
paddock,1021.38,2016-10-09T12:05:00
paddock,1023.63,2016-10-09T12:10:00
paddock,1025.52,2016-10-09T12:15:00
paddock,1027.24,2016-10-09T12:20:00
paddock,1028.98,2016-10-09T12:25:00
paddock,1030.76,2016-10-09T12:30:00
paddock,1032.44,2016-10-09T12:35:00
paddock,1034.04,2016-10-09T12:40:00
paddock,1035.66,2016-10-09T12:45:00
paddock,1037.20,2016-10-09T12:50:00
paddock,1038.62,2016-10-09T12:55:00
paddock,1040.02,2016-10-09T13:00:00
paddock,1041.48,2016-10-09T13:05:00
paddock,1042.92,2016-10-09T13:10:00
paddock,1044.38,2016-10-09T13:15:00
paddock,1045.88,2016-10-09T13:20:00
paddock,1047.40,2016-10-09T13:25:00
paddock,1048.82,2016-10-09T13:30:00
paddock,1050.28,2016-10-09T13:35:00
paddock,1051.68,2016-10-09T13:40:00
paddock,1053.24,2016-10-09T13:45:00
paddock,1054.74,2016-10-09T13:50:00
paddock,1056.14,2016-10-09T13:55:00
paddock,1057.74,2016-10-09T14:00:00
paddock,1063.65,2016-10-09T14:05:00
paddock,1075.06,2016-10-09T14:10:00
paddock,1084.08,2016-10-09T14:15:00
paddock,1092.40,2016-10-09T14:20:00
paddock,1107.53,2016-10-09T14:25:00
paddock,1128.15,2016-10-09T14:30:00
paddock,1147.71,2016-10-09T14:35:00
paddock,1164.58,2016-10-09T14:40:00
paddock,1178.68,2016-10-09T14:45:00
paddock,1188.57,2016-10-09T14:50:00
paddock,1195.21,2016-10-09T14:55:00
paddock,1200.30,2016-10-09T15:00:00
paddock,1205.55,2016-10-09T15:05:00
paddock,1212.21,2016-10-09T15:10:00
paddock,1216.70,2016-10-09T15:15:00
paddock,1219.98,2016-10-09T15:20:00
paddock,1222.54,2016-10-09T15:25:00
paddock,1224.77,2016-10-09T15:30:00
paddock,1227.08,2016-10-09T15:35:00
paddock,1229.13,2016-10-09T15:40:00
paddock,1230.86,2016-10-09T15:45:00
paddock,1232.20,2016-10-09T15:50:00
paddock,1233.64,2016-10-09T15:55:00
paddock,1175.14,2016-10-09T16:00:00
paddock,1176.54,2016-10-09T16:05:00
paddock,998.12,2016-10-09T16:10:00
paddock,999.48,2016-10-09T16:15:00
paddock,1000.86,2016-10-09T16:20:00
paddock,1002.24,2016-10-09T16:25:00
paddock,1003.60,2016-10-09T16:30:00
