key,value,date
paddock,682.12,2016-10-09T09:05:00
paddock,683.60,2016-10-09T09:10:00
paddock,685.04,2016-10-09T09:15:00
paddock,686.52,2016-10-09T09:20:00
paddock,687.90,2016-10-09T09:25:00
paddock,689.40,2016-10-09T09:30:00
paddock,690.80,2016-10-09T09:35:00
paddock,692.16,2016-10-09T09:40:00
paddock,693.52,2016-10-09T09:45:00
paddock,542.40,2016-10-09T09:50:00
paddock,546.00,2016-10-09T09:55:00
paddock,547.36,2016-10-09T10:00:00
paddock,548.74,2016-10-09T10:05:00
paddock,550.08,2016-10-09T10:10:00
paddock,704.46,2016-10-09T10:15:00
paddock,706.30,2016-10-09T10:20:00
paddock,708.44,2016-10-09T10:25:00
paddock,708.26,2016-10-09T10:30:00
paddock,712.30,2016-10-09T10:35:00
paddock,714.10,2016-10-09T10:40:00
paddock,715.84,2016-10-09T10:45:00
paddock,717.48,2016-10-09T10:50:00
paddock,718.94,2016-10-09T10:55:00
media,1817.38,2016-10-09T09:05:00
media,1821.88,2016-10-09T09:10:00
media,1827.20,2016-10-09T09:15:00
media,1832.52,2016-10-09T09:20:00
media,1838.22,2016-10-09T09:25:00
media,1844.28,2016-10-09T09:30:00
media,1850.02,2016-10-09T09:35:00
media,1856.04,2016-10-09T09:40:00
media,1862.32,2016-10-09T09:45:00
media,1868.70,2016-10-09T09:50:00
media,2674.59,2016-10-09T09:55:00
media,2682.50,2016-10-09T10:00:00
media,2691.64,2016-10-09T10:05:00
media,2700.32,2016-10-09T10:10:00
media,2709.10,2016-10-09T10:15:00
media,2717.72,2016-10-09T10:20:00
media,2726.30,2016-10-09T10:25:00
media,2735.66,2016-10-09T10:30:00
media,2745.02,2016-10-09T10:35:00
media,2754.36,2016-10-09T10:40:00
media,2763.64,2016-10-09T10:45:00
media,2773.08,2016-10-09T10:50:00
media,2782.38,2016-10-09T10:55:00
eVillage,2448.30,2016-10-09T09:05:00
eVillage,2783.27,2016-10-09T09:10:00
eVillage,2791.89,2016-10-09T09:15:00
eVillage,2800.38,2016-10-09T09:20:00
eVillage,2808.44,2016-10-09T09:25:00
eVillage,2816.90,2016-10-09T09:30:00
eVillage,2825.18,2016-10-09T09:35:00
eVillage,2833.24,2016-10-09T09:40:00
eVillage,2841.03,2016-10-09T09:45:00
eVillage,2849.00,2016-10-09T09:50:00
eVillage,2856.39,2016-10-09T09:55:00
eVillage,2864.08,2016-10-09T10:00:00
eVillage,2871.72,2016-10-09T10:05:00
eVillage,2879.36,2016-10-09T10:10:00
eVillage,2886.92,2016-10-09T10:15:00
eVillage,2893.72,2016-10-09T10:20:00
eVillage,2900.62,2016-10-09T10:25:00
eVillage,2907.12,2016-10-09T10:30:00
eVillage,2913.10,2016-10-09T10:35:00
eVillage,2919.27,2016-10-09T10:40:00
eVillage,2926.53,2016-10-09T10:45:00
eVillage,2936.18,2016-10-09T10:50:00
eVillage,2944.06,2016-10-09T10:55:00
vip_area,0.00,2016-10-09T09:05:00
vip_area,0.00,2016-10-09T09:10:00
vip_area,0.00,2016-10-09T09:15:00
vip_area,0.00,2016-10-09T09:20:00
vip_area,0.00,2016-10-09T09:25:00
vip_area,0.00,2016-10-09T09:30:00
vip_area,0.00,2016-10-09T09:35:00
vip_area,0.00,2016-10-09T09:40:00
vip_area,0.00,2016-10-09T09:45:00
vip_area,0.00,2016-10-09T09:50:00
vip_area,0.00,2016-10-09T09:55:00
vip_area,0.00,2016-10-09T10:00:00
vip_area,0.00,2016-10-09T10:05:00
vip_area,0.00,2016-10-09T10:10:00
vip_area,0.00,2016-10-09T10:15:00
vip_area,0.00,2016-10-09T10:20:00
vip_area,0.00,2016-10-09T10:25:00
vip_area,0.00,2016-10-09T10:30:00
vip_area,0.00,2016-10-09T10:35:00
vip_area,0.00,2016-10-09T10:40:00
vip_area,0.00,2016-10-09T10:45:00
vip_area,0.00,2016-10-09T10:50:00
vip_area,0.00,2016-10-09T10:55:00
